ticker,volume,vwap,open,close,high,low,timestamp,trade_count,price_change,volatility,volume_surge,rsi,macd_line,macd_signal,macd_diff,adx,atr,buy_signal,mfi,ticker_encoded
SYRS,14991631.0,0.1141,0.1145,0.1172,0.12135,0.1031,1970-01-01 00:29:02.414400,14347.0,0.023580786026200822,0.1770126091173618,4.876532411262621,46.92401229848987,-7.271912079295266,-5.787590291064342,-1.4843217882309236,3.962641597755122,31.356900947552646,0,0,0
NRGV,5403162.0,0.887,0.949,1.0,1.01,0.79,1970-01-01 00:29:02.414400,11130.0,0.05374077976817708,0.2784810126582278,1.66470387645316,47.56517174257707,-7.404995977327587,-5.681504109842651,-1.7234918674849364,3.818765914472801,55.84778168903125,0,0,0
ANTE,2299390.0,0.5726,0.6176,0.5444,0.6199,0.5391,1970-01-01 00:29:02.414400,3765.0,-0.11852331606217623,0.1498794286774253,3.1466612730444607,46.65793476259488,-10.808846682726962,-0.08052796980933863,-10.728318712917623,5.490101745380494,48.3404304204481,1,0,0
GPRO,8072890.0,0.7801,0.76,0.782,0.7897,0.7595,1970-01-01 00:29:02.414400,8901.0,0.028947368421052656,0.03976300197498355,1.8071621365518642,47.39468573869802,-2.3918202201007617,-2.72805758903153,0.3362373689307683,4.451454710520176,60.229971998819885,1,0,0
CHSN,464976.0,0.2367,0.201,0.2389,0.248,0.201,1970-01-01 00:29:02.414400,507.0,0.1885572139303482,0.23383084577114419,1.2394415454528007,47.79016473076256,-6.248121430453381,15.855421548629593,-22.103542979082974,5.969326372246647,150.60602966968796,0,0,0
BON,33812211.0,0.4029,0.3963,0.3503,0.4099,0.342,1970-01-01 00:29:02.414400,68111.0,-0.11607368155437796,0.1985380116959063,4.521910453251158,47.61098564633739,-18.274198205488403,-11.313304588573779,-6.960893616914625,4.291520982209776,95.6914641514581,1,0,0
VINC,995312.0,0.6404,0.6687,0.6306,0.7,0.591,1970-01-01 00:29:02.414400,2855.0,-0.05697622252130988,0.1844331641285956,1.327445855852828,47.69947126995639,0.506746117219727,10.857246866781773,-10.350500749562046,6.7118109122388265,97.89734533659454,1,0,0
GCTK,401575.0,0.3798,0.3551,0.3893,0.399,0.3551,1970-01-01 00:29:02.414400,835.0,0.09631089833849606,0.12362714728245562,1.3007261328131832,47.636782296295735,-6.284848871144881,2.6755762687197584,-8.96042513986464,5.722255223809957,85.05534432420028,0,0,0
CNEY,447572.0,0.1658,0.1652,0.17,0.1739,0.1618,1970-01-01 00:29:02.414400,572.0,0.029055690072639216,0.07478368355995055,1.2732063195492636,47.32915858791712,-14.324801891467073,-14.882746669762643,0.5579447782955693,2.820728002296302,43.33121600191892,1,0,0
STBX,1408557.0,0.2302,0.2149,0.2601,0.27,0.2036,1970-01-01 00:29:02.414400,2518.0,0.21033038622615163,0.3261296660117879,1.4558427732760046,47.08106215243474,-1.501146246128826,-8.333275790538995,6.832129544410169,4.391862562317866,51.2343607712157,1,0,0
HYPR,1252809.0,0.8721,0.8891,0.8506,0.93,0.8506,1970-01-01 00:29:02.414400,3194.0,-0.04330221572376558,0.09334587350105811,1.3995082542242996,47.19648532280138,-10.223409156773183,-4.458639224772138,-5.7647699320010455,3.981797759697301,47.33059007239899,1,0,0
HEPA,6101206.0,0.778,0.7458,0.82,0.84,0.7051,1970-01-01 00:29:02.414400,18937.0,0.09949048002145339,0.19132038008793084,4.922913536998387,46.78901722779716,-7.360946594321973,-2.5741821227146717,-4.7867644716073015,5.303571884205328,55.287874687407275,0,0,0
